movie_id,genre_ids
9348,"[878, 27, 28]"
139408,[18]
281,"[80, 18, 878, 53]"
5967,"[18, 10749]"
79593,[53]
47939,"[18, 14]"
36834,"[18, 10749]"
9090,[35]
3512,"[28, 53]"
52856,"[35, 18, 10751]"
77350,[99]
9560,"[18, 10749]"
9804,"[12, 28]"
31611,[18]
65796,"[28, 37]"
49805,[18]
26258,"[12, 28, 35, 80, 10751]"
50797,[18]
19155,"[18, 10752]"
76,"[18, 10749]"
11017,[35]
37141,"[18, 53]"
9382,"[35, 18]"
6715,"[18, 10751]"
18256,"[53, 18, 27, 9648]"
22625,"[18, 10751, 10749]"
2292,[35]
1909,"[10749, 18, 35]"
8984,"[18, 53, 80, 9648, 10749]"
61813,[53]
4954,"[28, 12, 53]"
62488,"[80, 35, 14]"
10531,"[18, 53, 9648]"
11929,"[80, 18, 9648]"
8467,[35]
10451,"[35, 18, 10749]"
20156,"[18, 9648]"
18395,"[53, 35, 80, 10749]"
522,"[35, 18, 36]"
397,"[35, 10749]"
10525,"[35, 18, 10749]"
27985,"[28, 12, 18, 10751]"
15789,"[10749, 16, 10751, 35, 12]"
27303,"[18, 53]"
21183,"[18, 10751, 14]"
10954,"[36, 18]"
47867,"[18, 10751, 14]"
43475,"[14, 16, 878, 10751]"
72031,"[18, 28, 53, 80]"
14275,[99]
1024,"[18, 14]"
17207,"[35, 10751]"
13701,"[18, 10402, 10749]"
14819,"[35, 10751, 18]"
32631,"[28, 53]"
11777,"[35, 18, 10749]"
628,"[27, 10749]"
87729,"[18, 10749]"
18713,"[35, 80]"
6280,"[35, 10751, 10749]"
9061,"[28, 18, 9648, 53]"
37108,"[12, 14, 35, 878, 10751]"
6071,"[28, 80, 18, 53]"
11,"[12, 28, 878]"
9587,"[18, 10749]"
19101,"[18, 10751, 14]"
49980,[18]
17961,"[80, 18]"
18183,"[18, 10749]"
4476,"[12, 18, 10749, 10752]"
11008,"[12, 35, 10751]"
47504,"[28, 18]"
32325,"[80, 18]"
43742,"[18, 10749]"
28313,[18]
11318,"[35, 18, 36]"
3036,"[18, 27, 878, 10749]"
40490,"[28, 35, 10751]"
24070,"[35, 18, 10749]"
8986,"[35, 10749]"
10510,"[14, 18, 10751]"
17402,"[35, 10749]"
38722,"[35, 18]"
8438,"[80, 18]"
11593,"[18, 35]"
1945,"[18, 53]"
39310,"[80, 18]"
109560,"[28, 53, 80, 18]"
56428,[27]
63105,"[878, 28, 53]"
131957,"[18, 10749]"
241,"[80, 53, 18]"
9058,"[35, 18, 10749]"
527,[18]
18220,"[18, 10749, 53]"
6950,"[28, 18, 878, 53]"
101,"[53, 80, 18]"
63020,"[35, 18, 10749]"
2307,"[35, 18, 10749]"
680,"[53, 80]"
41478,[18]
25296,"[35, 18]"
40156,"[18, 10749]"
11450,"[36, 18]"
30304,"[18, 36]"
10452,"[18, 36]"
12106,"[28, 37]"
161495,"[18, 35]"
3586,"[18, 35]"
110,"[18, 9648, 10749]"
108,"[18, 10402, 9648]"
109,"[35, 18, 9648]"
159185,[18]
36357,"[35, 10751, 10770]"
92769,"[27, 18]"
28033,"[35, 18]"
22586,[16]
14334,"[18, 10751, 14]"
2636,"[28, 53]"
2164,"[28, 12, 878]"
11395,"[14, 18, 35, 10751]"
278,"[18, 80]"
9905,"[80, 53]"
87078,"[18, 53]"
12527,"[35, 18]"
20306,"[80, 35]"
36614,"[35, 18, 10749]"
27993,[35]
31439,"[18, 10749, 10752]"
9067,"[28, 35, 14, 878]"
9059,"[27, 35, 53]"
193,"[878, 28, 12, 53]"
25066,"[80, 27, 53]"
46797,"[18, 10749]"
12122,"[53, 27, 878]"
11381,[35]
32636,"[18, 10749]"
36141,"[53, 80]"
95963,"[18, 10752]"
1587,"[10749, 18]"
9271,"[28, 80, 878, 53]"
2064,"[35, 18, 10749]"
19855,[18]
60855,"[35, 10749]"
236,"[18, 35, 10749]"
48287,"[35, 18, 10751]"
3049,"[35, 9648]"
2759,"[18, 35]"
12635,"[18, 10402]"
10497,"[53, 18, 10749]"
11382,"[28, 35, 53]"
9331,"[28, 18, 53]"
10731,"[18, 53, 80, 9648]"
10464,"[35, 18, 10751, 10749]"
34152,"[35, 18]"
9495,"[14, 28, 53]"
29973,[18]
888,"[14, 35, 10751]"
13,"[35, 18, 10749]"
712,"[35, 18, 10749]"
16295,"[10749, 18, 80]"
48992,"[35, 18, 10749]"
10879,"[28, 35, 10749]"
10660,"[35, 18, 10749]"
10714,"[12, 18, 10751]"
41647,"[99, 10769]"
8587,"[10751, 16, 18]"
1689,"[18, 36]"
11596,"[27, 53, 9648, 14]"
854,"[10749, 35, 80, 14]"
9359,"[28, 12, 35, 18, 37]"
23333,[18]
36593,"[35, 80]"
12280,"[35, 18]"
2788,[18]
10427,"[80, 18, 53]"
11011,"[35, 10751]"
49803,[18]
8987,"[28, 12, 80, 53]"
1637,"[28, 12, 80]"
15128,"[35, 10749]"
8831,"[53, 878, 28, 80]"
36955,"[28, 53]"
10449,"[18, 10749]"
10395,[14]
12160,"[18, 28, 37]"
40480,"[28, 80, 10749, 53]"
52038,"[35, 18]"
29444,"[35, 18]"
26352,"[28, 35, 80]"
39953,[18]
41580,[18]
315,"[28, 80]"
22067,"[80, 18, 10749]"
18242,"[16, 878]"
11667,"[28, 12, 53]"
32502,"[28, 35]"
267188,[]
28732,"[28, 12, 80, 18, 53]"
75555,"[27, 53]"
42981,[99]
278939,"[10749, 12, 80, 18]"
291731,"[53, 18]"
226229,"[28, 53]"
203119,[35]
172923,[]
316098,[99]
8011,"[28, 14, 878]"
171857,[]
2654,"[27, 9648, 53]"
18069,"[18, 10749]"
19092,"[80, 18]"
2758,"[35, 10751, 14]"
38129,[35]
10436,"[18, 10749]"
13595,"[35, 80, 10402]"
46094,"[35, 10751]"
9409,"[28, 35]"
11853,"[28, 12, 35, 18, 37]"
16771,"[35, 18, 10749]"
46924,"[18, 35, 14]"
11041,[35]
306,"[28, 35, 80]"
14522,"[28, 12, 18, 10751]"
26203,"[9648, 80, 18, 53]"
178,"[18, 28, 53]"
19819,[18]
57834,"[18, 10749]"
4722,"[27, 878, 53]"
18215,"[18, 10749]"
1607,"[18, 80]"
26391,[35]
117553,"[18, 35]"
6075,"[28, 80, 18, 53]"
11310,"[28, 35, 18, 37]"
18658,"[35, 53, 9648]"
9350,"[28, 12, 53]"
9612,"[35, 878, 10751]"
2124,"[18, 9648, 10749, 53]"
26261,"[28, 35, 10751]"
19176,"[37, 28, 35]"
49299,[18]
11566,[35]
9571,"[35, 18]"
9739,"[80, 28, 878]"
24257,[99]
34444,"[37, 18, 35, 10749]"
26141,[35]
10997,[18]
50463,"[18, 35, 10749]"
10443,[18]
20239,[35]
16297,"[35, 18]"
18551,"[18, 9648, 10749]"
25440,"[35, 53, 9648, 10749, 10769]"
9024,"[35, 10749]"
37233,"[18, 9648, 53]"
1634,"[10751, 12]"
13815,"[80, 18, 53]"
5503,"[12, 28, 53, 80, 9648]"
35588,"[36, 28, 18, 37]"
2087,"[18, 28, 53]"
41579,"[10751, 35, 80]"
18620,"[18, 10749]"
41006,"[35, 18]"
4916,"[18, 53]"
2019,"[28, 12, 80, 53]"
31642,"[36, 10752, 28, 18]"
9255,"[28, 35, 10752]"
26271,[35]
10612,"[18, 35, 10749]"
2259,"[10749, 18]"
16097,[35]
11934,"[35, 18]"
106143,"[35, 18]"
12475,[35]
9386,"[28, 18, 53, 80, 9648]"
7984,[18]
59930,"[35, 18, 10749]"
15765,"[18, 10402]"
31643,[35]
6,"[28, 53, 80]"
329,"[12, 878]"
10909,"[53, 80]"
507,"[28, 80, 18, 53]"
34024,[18]
29918,"[28, 12, 18, 10751]"
9593,"[12, 14, 28, 35, 10751]"
42580,"[35, 10751]"
22317,"[28, 35, 37]"
1413,"[18, 10749]"
12121,[35]
2246,"[18, 80]"
10502,[18]
10440,"[35, 9648]"
9516,"[18, 28, 80]"
2320,"[28, 12, 18, 53]"
5879,"[18, 10749]"
83718,"[53, 35, 18, 10749]"
11971,"[18, 35, 10749]"
2625,"[18, 10749]"
31911,"[35, 10749]"
788,"[35, 18, 10751]"
21450,"[35, 18]"
11231,[12]
41588,"[35, 18]"
10447,"[28, 18, 878, 53]"
31586,"[35, 18, 10751, 14, 878]"
9300,"[10749, 18, 14]"
9559,"[80, 18, 53]"
9800,[18]
713,"[18, 10749]"
8291,"[18, 10749]"
18133,[18]
25557,"[27, 878, 53]"
22588,"[35, 80, 18, 10402, 9648, 10749]"
10872,[35]
1245,"[18, 10749]"
11858,"[35, 10752]"
7007,"[28, 18, 53]"
10467,"[35, 10749]"
5550,"[28, 12, 80, 878, 53]"
8005,[35]
2088,"[28, 80, 18, 53]"
10412,"[28, 18, 53]"
47889,"[18, 10749]"
14534,[18]
56583,[18]
41878,[18]
424,"[18, 36, 10752]"
35233,"[35, 18]"
14291,[18]
103413,[18]
11236,"[18, 10751, 14]"
11592,"[35, 80, 27, 53]"
8850,"[12, 14, 28, 53, 878]"
10445,"[18, 10749]"
695,"[35, 18]"
43535,"[18, 10751]"
12519,"[35, 18]"
23210,"[9648, 18, 35]"
858,"[35, 18, 10749]"
867,"[18, 53]"
78,"[878, 18, 53]"
13203,"[35, 18, 10749]"
10442,"[35, 80, 10749]"
11074,"[80, 28, 9648, 53]"
33367,"[36, 18, 10749]"
9607,"[12, 35, 10751, 14]"
17585,"[28, 12, 53, 80]"
9057,"[28, 53]"
20967,"[18, 10402]"
10635,"[35, 18, 10751, 10749]"
9479,"[14, 16, 10751]"
10057,"[28, 12, 35]"
11969,"[28, 12, 18, 36, 37]"
41590,"[18, 28, 53]"
319,"[28, 53, 80, 10749]"
26408,"[99, 36]"
15139,"[14, 878, 10751, 16]"
161158,"[18, 35]"
218473,[]
85247,"[53, 18, 10749]"
11446,"[35, 18]"
51980,"[18, 10749]"
24405,"[35, 10749]"
11655,"[18, 27, 53]"
11800,"[35, 10749]"
8223,"[35, 18]"
14587,"[35, 18]"
31504,"[35, 10751]"
41653,[18]
53185,"[10770, 18, 10749, 35]"
95743,"[18, 10749]"
23637,"[35, 10769]"
17600,"[35, 18]"
10897,"[10749, 35, 10751]"
349394,[35]
21352,"[18, 10751, 12]"
68806,"[53, 80, 18]"
37345,"[35, 18, 36, 9648]"
32562,"[36, 99]"
47507,"[18, 35, 10749, 10769]"
25403,"[35, 18]"
124304,"[10749, 18]"
9066,[35]
771,"[35, 10751]"
251,"[14, 18, 53, 9648, 10749]"
812,"[16, 10751, 35, 12, 14, 10749]"
280,"[28, 53, 878]"
581,"[12, 18, 37]"
80350,"[53, 28, 18]"
268,"[14, 28]"
274,"[80, 18, 53]"
408,"[14, 16, 10751]"
10020,"[10749, 10751, 16, 14, 10402]"
10895,"[16, 10751]"
114,"[10749, 35]"
41043,"[35, 18, 14]"
576,"[12, 37]"
15477,"[80, 53]"
59146,"[18, 10769, 10749]"
124472,[]
30528,"[35, 10749]"
7300,"[35, 10749]"
10824,[27]
261246,"[10749, 18]"
275,"[80, 18, 53]"
25059,"[12, 35, 18, 10751]"
11827,"[16, 878]"
8766,"[27, 53, 878]"
23570,"[35, 10749]"
47333,"[18, 10749]"
54850,"[18, 9648, 53]"
51242,"[35, 10769]"
10112,"[16, 35, 10751, 12]"
4307,"[18, 10749]"
46029,"[35, 10749]"
32308,"[35, 10751]"
88893,"[12, 18, 99]"
52873,[18]
123505,[]
340210,"[53, 28, 18]"
44281,"[35, 18]"
28121,"[35, 53, 80, 10749]"
12520,"[35, 53, 80, 18]"
1592,"[80, 18, 9648, 53]"
166901,[]
36447,"[18, 10749]"
19042,"[10749, 16, 10751, 12, 14]"
38884,"[18, 36, 10752, 10749]"
47449,[35]
36259,"[14, 878, 10751]"
41852,"[35, 18]"
40926,"[18, 53]"
9099,"[35, 10751]"
2021,"[35, 18, 10749]"
61752,[35]
10988,"[18, 27, 9648, 53]"
11479,"[12, 18, 35, 10751]"
398959,"[10749, 18]"
287305,[35]
339428,[35]
12652,"[18, 10749]"
10684,"[18, 53, 9648, 10752]"
954,"[12, 28, 53]"
68445,"[18, 35]"
18989,"[18, 10749]"
10801,[35]
54285,"[27, 9648, 53]"
8840,[14]
278978,[18]
124625,[18]
11107,"[28, 35]"
16417,"[18, 35]"
70934,[]
10363,"[80, 18, 53]"
161070,"[10749, 35, 18]"
10539,"[12, 16, 10751]"
10543,"[18, 53, 10749]"
18414,[35]
47502,"[35, 80, 18]"
11902,"[10752, 18, 35]"
27098,"[10752, 18, 10749]"
25087,"[28, 53]"
5801,[18]
896,[18]
3065,"[35, 878]"
318177,[]
2300,"[16, 35, 18, 10751, 14]"
8069,[878]
288173,"[53, 28, 18]"
187851,"[35, 27, 878]"
27768,"[18, 53]"
221917,"[18, 10749]"
8072,"[18, 878, 9648]"
35797,[18]
88030,"[99, 10769]"
185191,[]
83857,"[27, 18, 53]"
33245,[18]
124460,"[18, 10749]"
27281,"[28, 12, 35, 10751]"
105045,"[18, 10749]"
40001,"[35, 10749, 18]"
29621,"[28, 12, 878, 53]"
117730,"[18, 10769]"
20762,"[28, 53]"
37144,"[80, 9648, 53]"
48260,"[80, 18, 10749, 53]"
12656,"[28, 35, 18, 53]"
38867,"[18, 10749]"
277270,[]
25969,"[35, 18, 10751, 10749]"
44103,"[18, 36]"
753,[18]
43634,"[10749, 18, 9648]"
9103,"[28, 12]"
90214,"[35, 10749]"
29649,[18]
10990,"[18, 9648, 53]"
8866,"[35, 10749]"
12233,"[16, 35, 10751]"
23449,[35]
36355,"[12, 10751]"
37667,"[18, 53, 9648, 10749]"
90148,[18]
922,"[18, 14, 37]"
11876,"[10752, 12, 18, 10749]"
52633,"[28, 80, 18]"
62364,"[35, 10769]"
11687,"[14, 35, 878]"
9304,"[35, 14, 878]"
73183,[99]
131232,"[18, 10769]"
9100,"[18, 14, 27, 53]"
20759,"[35, 18]"
46063,"[18, 53]"
365371,[]
32513,"[35, 18, 10749]"
40651,"[16, 18]"
36915,"[18, 9648, 53]"
40507,"[28, 18, 80, 53]"
9802,"[28, 12, 53]"
25697,[35]
21588,"[14, 18, 27, 35]"
664,"[28, 12, 18]"
11867,"[28, 878]"
47119,[18]
314352,[35]
9323,"[28, 16, 878]"
10280,"[27, 53]"
10535,"[28, 35]"
124613,"[35, 18]"
532,"[10751, 16, 35]"
26744,"[18, 28, 80]"
16299,"[35, 10751]"
10547,"[28, 9648, 878, 53]"
245268,"[18, 10752]"
935,"[18, 35, 10752]"
55613,"[27, 35, 18, 14]"
215107,[]
41007,"[35, 18, 10749]"
35645,[18]
110465,"[10751, 12]"
255546,[99]
40751,"[18, 28]"
275096,[]
85778,[99]
11101,"[18, 36, 10752]"
9826,"[12, 28]"
9879,"[18, 53, 80]"
63564,"[18, 35]"
22621,"[18, 10749]"
7095,"[35, 18, 878]"
26890,[18]
46732,"[35, 18, 10751]"
124633,[18]
202425,"[10402, 10749]"
196940,[]
77771,"[18, 10749]"
181083,[18]
41225,"[18, 9648, 27]"
188589,[]
87190,"[37, 18, 10752]"
627,"[18, 80]"
32872,"[35, 10749]"
602,"[28, 12, 878]"
14553,"[18, 10749]"
9566,"[18, 9648, 53]"
10545,"[18, 16, 10751]"
9894,"[35, 18, 53]"
11543,[35]
9268,"[28, 18, 9648, 53]"
52059,[99]
9327,"[14, 35, 10749, 878]"
123763,"[18, 10769]"
81949,"[18, 10749, 10752]"
42005,[]
124306,[]
183955,[]
44535,"[35, 18]"
44495,[18]
78285,[35]
11228,"[28, 12, 53]"
10779,"[27, 35]"
26748,"[18, 9648, 10749]"
38223,"[35, 18, 10751]"
9294,"[18, 14, 10749, 878]"
49963,"[35, 18, 10749]"
11363,"[35, 10749]"
1645,"[80, 18, 53]"
31546,[18]
77056,"[10749, 35]"
36344,[12]
18550,"[28, 35, 53]"
11511,"[14, 35, 878, 10751]"
172198,[]
34170,"[10751, 35]"
281085,[]
109478,"[28, 9648, 53]"
124645,"[10752, 18]"
12606,[35]
69895,[35]
35206,"[12, 18]"
151489,"[10752, 18]"
4837,"[18, 35, 10749]"
12632,"[18, 10769]"
9098,"[35, 10769]"
282919,[18]
124614,[53]
18975,"[16, 10751, 14]"
11962,"[14, 35, 10402]"
2925,[35]
28628,"[10749, 18, 35]"
3595,"[28, 53]"
9308,[35]
92381,[35]
18555,"[28, 18, 53]"
12123,"[28, 18, 878, 53]"
10830,"[35, 10751, 14]"
3573,"[18, 35, 10749]"
10546,"[28, 14, 53]"
18862,"[35, 10751]"
31417,"[18, 27, 53]"
9431,"[27, 35]"
124619,[18]
297645,[]
48144,[]
46986,"[18, 10749]"
144982,[18]
47907,"[35, 18]"
10061,"[28, 12, 878, 53]"
36266,"[80, 18]"
549,"[18, 36]"
10478,"[35, 18, 10749]"
66634,"[18, 10402]"
116690,[18]
213917,[18]
145925,[]
100914,[]
238,"[18, 80]"
159,"[35, 18]"
11134,"[28, 80, 53]"
88224,"[18, 35]"
132641,[18]
42758,[]
9303,"[80, 18, 10749, 53]"
23945,"[35, 10751]"
37820,[18]
22479,"[53, 18, 10402, 80]"
9054,"[35, 10751]"
241058,"[10749, 35]"
11985,[18]
10232,[18]
59569,[18]
410921,"[28, 80, 18]"
38955,"[28, 12, 80]"
110513,"[35, 18]"
114089,[18]
11015,"[27, 9648, 53]"
9306,"[14, 27, 878]"
12559,"[35, 10751]"
58770,"[18, 53]"
124851,[]
3587,"[14, 35, 10751]"
10723,"[28, 12, 35, 53]"
56077,"[18, 10749, 10752]"
19004,"[16, 12, 10751]"
101230,[]
253632,[53]
10987,"[27, 53]"
44705,"[18, 35, 10749]"
20318,"[18, 36]"
43596,"[18, 10749]"
79782,"[18, 10749]"
26933,"[18, 10749]"
27854,"[18, 36, 10749, 53]"
981,"[35, 10749]"
872,"[35, 10402, 10749]"
2769,"[18, 35, 10402, 10749]"
13320,"[10402, 35, 10749]"
164,"[35, 18, 10749]"
426,"[9648, 10749, 53]"
567,"[18, 9648, 53]"
3078,"[35, 10749]"
13528,"[18, 9648, 53, 80]"
28288,"[35, 10402, 10749]"
213,"[9648, 53]"
284,"[35, 18, 10749]"
239,"[35, 10749]"
4808,"[35, 9648, 10749, 53]"
289,"[18, 10749]"
963,"[9648, 80, 53]"
11113,"[18, 10751, 10402, 10749]"
6620,"[35, 18, 10749]"
804,"[35, 10749]"
26531,"[18, 35, 10751]"
909,"[35, 10402, 10749]"
630,"[12, 10751, 14]"
770,"[18, 10749, 10752]"
31044,"[35, 18]"
599,[18]
15,"[9648, 18]"
62,"[878, 9648, 12]"
121357,"[12, 10749]"
705,[18]
22490,"[35, 18]"
223,"[18, 9648]"
25670,"[9648, 53, 10752]"
303,"[53, 18, 10749]"
4174,"[18, 9648, 53]"
8356,"[18, 10749]"
381,"[80, 18, 9648, 10749, 53]"
20758,"[35, 18, 10751, 10749]"
29376,"[35, 10402]"
1859,"[35, 10749]"
18299,"[35, 18, 10749]"
17281,"[35, 10402, 10749]"
64382,"[35, 10749]"
10907,"[28, 12, 10749]"
32093,"[28, 12, 18, 10749, 37]"
1939,"[18, 9648]"
22292,"[14, 10749, 9648]"
3598,"[12, 14, 18, 9648]"
3080,"[35, 10402, 10749]"
198,"[35, 10752]"
13562,"[35, 10749]"
1712,"[28, 18, 37]"
220,[18]
3529,"[35, 80, 9648]"
3085,"[35, 18]"
2897,"[12, 35, 10751, 14, 10749]"
1585,"[18, 10751, 14]"
3083,"[35, 18]"
900,"[35, 10749]"
43795,"[18, 10749]"
85638,[18]
50001,"[35, 53, 9648, 10749]"
43905,[18]
22688,"[35, 14, 10749]"
23114,"[18, 10751]"
26378,"[53, 80, 18, 9648]"
40206,"[35, 10402, 10749]"
22356,"[10749, 37]"
260,"[28, 53, 9648]"
43488,"[10752, 18]"
22613,"[28, 12, 37]"
10331,[27]
488,"[12, 10752, 10749]"
22733,"[28, 12, 35, 80, 18, 10749]"
261,"[18, 10749]"
57575,"[10749, 18]"
32574,"[18, 35, 10749]"
22657,"[18, 28, 9648, 10749]"
76464,[35]
22649,"[18, 10749, 10752]"
176841,"[10402, 9648]"
125587,[18]
39448,"[28, 10769]"
52855,[18]
39940,"[18, 10749]"
172868,[]
85328,"[35, 10749, 18]"
124632,"[99, 10751]"
11076,"[28, 12, 18, 10751]"
63945,"[18, 10749]"
58985,"[18, 35, 10402]"
890,[18]
10861,"[28, 12, 53]"
1770,"[18, 53]"
44465,"[18, 53]"
2033,"[18, 10749]"
18203,[18]
9333,"[28, 80, 18, 53]"
47260,"[28, 18, 53]"
9400,"[18, 28, 80]"
9401,"[35, 80]"
12241,"[35, 80, 53]"
25739,[35]
161806,[]
11306,"[18, 53]"
9625,"[28, 12, 80, 18, 53]"
10680,"[28, 35, 18, 10751]"
6346,"[80, 18]"
18660,"[35, 10751]"
35115,"[28, 12, 10751, 37]"
14821,"[12, 14, 878, 10751]"
14136,"[35, 10751, 14]"
10869,"[10749, 35, 10751, 14]"
22660,"[12, 18, 37]"
19186,"[35, 10751]"
31102,[12]
6878,"[12, 35, 18, 10751]"
15944,"[35, 10751]"
18444,"[12, 10751]"
20723,"[18, 10751, 35]"
173,"[12, 18, 878]"
864,[35]
24795,"[14, 18, 35, 10751]"
11224,"[10751, 14, 16, 10749]"
81310,"[16, 10751, 10402]"
15947,"[16, 10751, 10402]"
9078,"[16, 10751]"
29682,"[16, 18, 10751]"
8367,[12]
433,"[35, 10751, 14]"
11360,"[16, 10751]"
11114,"[14, 16, 35, 10751]"
12335,"[12, 14, 16, 35, 10751, 10402]"
12092,"[16, 12, 10751, 14]"
10948,"[12, 16, 18, 10751]"
11229,"[35, 18, 53]"
15121,"[18, 10751, 10402, 10749]"
562,"[28, 53]"
10163,"[27, 53, 878]"
48862,"[18, 10749]"
117036,[99]
47199,"[18, 53]"
11159,[18]
9591,"[35, 18]"
30500,"[18, 10749]"
41843,"[18, 10749]"
55058,"[35, 10749]"
10938,"[35, 18, 10749]"
11412,"[80, 28, 9648, 53]"
10586,[12]
42314,[99]
27845,"[35, 18]"
108365,[18]
23223,"[80, 18]"
49471,[18]
38153,"[28, 53]"
25147,"[18, 10749]"
9716,"[10402, 35, 10749]"
43777,"[18, 10749]"
454,"[18, 10749]"
10218,"[35, 10749]"
819,"[80, 18, 53]"
38191,[18]
56830,[18]
11238,"[12, 16, 10751]"
27256,[9648]
31530,"[35, 10402, 10749]"
66473,"[35, 10402, 10749]"
28120,"[80, 18, 9648, 53]"
1834,"[80, 18, 9648, 53]"
26282,"[12, 18, 10749]"
37218,"[10752, 18, 10749, 28]"
252,"[10751, 14]"
116356,"[35, 10749]"
16372,[27]
11561,"[35, 10749, 878]"
11302,[35]
623,"[35, 80]"
583,[35]
12614,"[35, 10402, 10749]"
21711,"[35, 18]"
11575,"[12, 35]"
